Party,Color
Alliansen - Alternativ for Norge,#000000
Arbeiderpartiet,#ff0000
Feministisk Initiativ,#000000
Folkeaksjonen Nei til mer bompenger,#000000
Fremskrittspartiet,#110494
Generasjonspartiet,#000000
Hoeyre,#0077ff
Helsepartiet,#000000
Industri- og Naeringspartiet,#000000
Konservativt,#000000
Kristelig Folkeparti,#f5d314
Kystpartiet,#000000
Liberalistene,#000000
Miljoepartiet De Groenne,#00ff00
Norges Kommunistiske Parti,#000000
Norgesdemokratene,#000000
Partiet Sentrum,#000000
Pasientfokus,#000000
Pensjonistpartiet,#000000
Piratpartiet,#000000
Roedt,#aa0000
Redd Naturen,#000000
Senterpartiet,#049806
SV - Sosialistisk Venstreparti,#fA4479
Venstre,#07e899
