Party,EnglishName,Color
Alliansen - Alternativ for Norge,Alliance - Alternative for Norway,#000000
Arbeiderpartiet,Labour Party,#ff0000
Feministisk Initiativ,Feminist Initiative,#000000
Folkeaksjonen Nei til mer bompenger,People's Party FNB,#000000
Fremskrittspartiet,Progress Party,#110494
Generasjonspartiet,Generational Party,#000000
Hoeyre,Conservative Party,#0077ff
Helsepartiet,Health Party,#000000
Industri- og Naeringspartiet,Innovation and Technology Party,#000000
Konservativt,Conservative,#000000
Kristelig Folkeparti,Christian Democratic Party,#f5d314
Kystpartiet,Coastal Party,#000000
Liberalistene,Capitalist Party,#000000
Miljoepartiet De Groenne,Green Party,#00ff00
Norges Kommunistiske Parti,Communist Party of Norway,#000000
Norgesdemokratene,Norway Democrats,#000000
Partiet Sentrum,Center Party,#000000
Pasientfokus,Patient Focus,#000000
Pensjonistpartiet,Pensioners' Party,#000000
Piratpartiet,Pirate Party,#000000
Roedt,Red Party,#aa0000
Redd Naturen,Nature party,#000000
Senterpartiet,Centre party,#049806
SV - Sosialistisk Venstreparti,Socialist Left Party,#fA4479
Venstre,Liberal Party,#07e899
